source,source_type,target,target_type
AT1G47840,gene,AT1G67070,gene
AT1G47840,gene,AT2G45790,gene
AT2G45790,gene,AT1G74910,gene
AT2G45790,gene,AT4G11980,gene
AT1G74910,gene,AT4G11980,gene
AT3G51160,gene,AT1G74910,gene
AT1G02310,gene,AT1G47840,gene
AT1G17890,gene,AT3G51160,gene
AT2G21170,gene,AT2G01140,gene
AT2G01140,gene,AT1G48430,gene
AT1G48430,gene,AT2G01140,gene
AT2G21170,gene,AT2G01140,gene
AT2G21170,gene,AT1G48430,gene
AT3G56310,gene,AT3G54440,gene
AT1G47840,gene,AT1G72990,gene
AT1G55740,gene,AT1G09350,gene
AT1G12240,gene,AT1G55740,gene
AT3G56310,gene,AT1G55740,gene
AT4G01970,gene,AT1G55740,gene
AT1G12240,gene,AT4G01970,gene
AT3G56310,gene,AT4G01970,gene
AT3G56310,gene,AT4G01970,gene
AT3G56310,gene,AT1G12240,gene
AT1G23190,gene,AT3G03250,gene
AT1G12780,gene,AT3G03250,gene
AT3G03250,gene,AT5G18200,gene
AT3G03250,gene,AT5G18200,gene
AT1G12780,gene,AT5G18200,gene
AT1G12780,gene,AT5G18200,gene
AT5G18200,gene,AT1G09350,gene
AT3G56310,gene,AT1G12240,gene
AT3G56310,gene,AT1G55740,gene
AT3G56310,gene,AT1G12240,gene
AT4G01970,gene,AT1G12240,gene
AT3G56310,gene,AT1G12240,gene
AT4G01970,gene,AT3G56310,gene
AT3G56310,gene,AT3G56310,gene
AT1G12780,gene,AT1G09350,gene
AT3G56310,gene,AT3G54440,gene
AT3G56310,gene,AT3G54440,gene
AT3G56310,gene,AT3G54440,gene
AT3G56310,gene,AT1G72990,gene
AT3G56310,gene,AT1G72990,gene
AT3G56310,gene,AT1G72990,gene
AT3G56310,gene,AT1G72990,gene
AT3G56310,gene,AT5G11720,gene
AT3G56310,gene,AT1G55740,gene
AT5G11720,gene,AT1G55740,gene
AT3G56310,gene,AT1G12240,gene
AT3G56310,gene,AT1G12240,gene
AT1G47840,gene,AT1G23190,gene
AT1G72990,gene,AT3G54440,gene
AT3G56310,gene,AT4G01970,gene
AT3G56310,gene,AT3G56310,gene
AT3G56310,gene,AT1G12240,gene
AT1G55740,gene,AT4G01970,gene
AT1G55740,gene,AT3G56310,gene
AT1G55740,gene,AT1G12240,gene
AT4G01970,gene,AT3G56310,gene
AT4G01970,gene,AT1G12240,gene
AT4G01970,gene,AT5G11720,gene
AT3G56310,gene,AT1G12240,gene
AT3G56310,gene,AT5G11720,gene
AT1G12240,gene,AT5G11720,gene
AT3G01260,gene,AT3G54440,gene
AT3G01260,gene,AT1G72990,gene
AT3G01260,gene,AT3G56310,gene
AT3G01260,gene,AT3G56310,gene
AT3G01260,gene,AT3G56310,gene
AT3G01260,gene,AT3G56310,gene
AT3G56310,gene,AT5G11720,gene
AT5G52560,gene,AT5G18200,gene
AT5G52560,gene,AT1G09350,gene
AT5G52560,gene,AT1G12780,gene
AT5G52560,gene,AT5G18200,gene
AT4G26850,gene,AT5G28840,gene
AT4G26850,gene,AT5G28840,gene
AT3G02870,gene,AT4G26850,gene
AT1G63940,gene,AT3G47930,gene
AT1G55560,gene,AT3G47930,gene
AT1G19550,gene,AT3G47930,gene
AT1G07890,gene,AT3G47930,gene
AT1G55560,gene,AT1G63940,gene
AT3G47930,gene,AT1G63940,gene
AT1G19550,gene,AT1G63940,gene
AT1G07890,gene,AT1G63940,gene
AT1G14520,gene,AT3G01640,gene
AT1G26570,gene,AT5G52560,gene
AT5G52560,gene,AT3G01640,gene
AT3G47930,gene,AT1G32300,gene
AT1G07890,gene,AT1G32300,gene
AT1G19550,gene,AT1G32300,gene
AT1G55560,gene,AT1G32300,gene
AT3G47930,gene,AT1G32300,gene
AT1G63940,gene,AT1G32300,gene
AT1G55560,gene,AT1G07890,gene
AT3G47930,gene,AT1G07890,gene
AT1G19550,gene,AT1G07890,gene
AT3G02870,gene,AT4G33670,gene
AT4G33670,gene,AT3G47930,gene
AT3G01640,gene,AT2G37790,gene
AT2G37790,gene,AT1G14520,gene
AT5G52560,gene,AT1G02000,gene
AT1G26570,gene,AT1G02000,gene
AT2G30200,gene,AT1G36160,gene
AT1G74960,gene,AT2G05990,gene
AT1G74960,gene,AT2G30200,gene
AT1G74960,gene,AT2G30200,gene
AT1G74960,gene,AT2G30200,gene
AT1G74960,gene,AT2G30200,gene
AT1G74960,gene,AT2G30200,gene
AT1G74960,gene,AT2G30200,gene
AT1G74960,gene,AT2G30200,gene
AT1G74960,gene,AT1G24360,gene
AT1G74960,gene,AT2G05990,gene
AT1G74960,gene,AT1G24360,gene
AT1G74960,gene,AT1G24360,gene
AT1G08510,gene,AT2G05990,gene
AT1G74960,gene,AT2G05990,gene
AT1G08510,gene,AT1G74960,gene
AT1G08510,gene,AT2G05990,gene
AT1G74960,gene,AT2G05990,gene
AT1G08510,gene,AT1G74960,gene
AT1G74960,gene,AT1G24360,gene
AT1G08510,gene,AT2G05990,gene
AT1G74960,gene,AT2G05990,gene
AT1G08510,gene,AT1G74960,gene
AT1G74960,gene,AT1G24360,gene
AT1G08510,gene,AT2G05990,gene
AT1G74960,gene,AT2G05990,gene
AT1G08510,gene,AT1G74960,gene
AT1G74960,gene,AT1G24360,gene
AT1G08510,gene,AT2G05990,gene
AT1G43800,gene,AT2G05990,gene
AT1G74960,gene,AT2G05990,gene
AT1G43800,gene,AT1G08510,gene
AT1G74960,gene,AT1G08510,gene
AT1G74960,gene,AT1G43800,gene
AT1G74960,gene,AT1G24360,gene
AT2G22230,gene,AT1G24360,gene
AT2G05990,gene,AT2G22230,gene
AT3G25110,gene,AT1G43800,gene
AT1G43800,gene,AT2G05990,gene
AT1G43800,gene,AT3G25110,gene
AT2G05990,gene,AT3G25110,gene
AT1G43800,gene,AT3G25110,gene
AT1G74960,gene,AT1G24360,gene
AT2G30200,gene,AT1G74960,gene
AT1G62640,gene,AT1G36160,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G24360,gene
AT2G22230,gene,AT1G24360,gene
AT2G22230,gene,AT2G05990,gene
AT2G22230,gene,AT1G24360,gene
AT2G22230,gene,AT2G05990,gene
AT2G22230,gene,AT1G24360,gene
AT2G22230,gene,AT2G05990,gene
AT2G22230,gene,AT1G24360,gene
AT2G22230,gene,AT2G05990,gene
AT2G22230,gene,AT1G24360,gene
AT2G22230,gene,AT2G05990,gene
AT2G22230,gene,AT1G24360,gene
AT2G22230,gene,AT2G05990,gene
AT2G22230,gene,AT1G24360,gene
AT2G22230,gene,AT2G05990,gene
AT1G49430,gene,AT1G08510,gene
AT1G62640,gene,AT2G30200,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G74960,gene
AT1G62640,gene,AT1G74960,gene
AT3G16170,gene,AT1G36160,gene
AT3G16170,gene,AT2G30200,gene
AT2G22230,gene,AT3G45770,gene
AT3G45770,gene,AT1G74960,gene
AT2G22230,gene,AT3G45770,gene
AT1G74960,gene,AT3G45770,gene
AT2G22230,gene,AT3G45770,gene
AT1G08510,gene,AT3G45770,gene
AT3G45770,gene,AT1G74960,gene
AT2G22230,gene,AT3G45770,gene
AT3G45770,gene,AT1G08510,gene
AT3G45770,gene,AT1G74960,gene
AT2G22230,gene,AT3G45770,gene
AT3G45770,gene,AT1G08510,gene
AT3G45770,gene,AT1G74960,gene
AT2G22230,gene,AT3G45770,gene
AT3G45770,gene,AT1G08510,gene
AT3G45770,gene,AT1G74960,gene
AT2G22230,gene,AT3G45770,gene
AT3G45770,gene,AT1G08510,gene
AT3G45770,gene,AT1G43800,gene
AT3G45770,gene,AT1G74960,gene
AT1G36160,gene,AT1G62640,gene
AT1G36160,gene,AT2G30200,gene
AT2G30200,gene,AT1G62640,gene
AT2G30200,gene,AT1G74960,gene
AT1G74960,gene,AT1G24360,gene
AT1G24360,gene,AT2G22230,gene
AT2G22230,gene,AT2G05990,gene
AT2G22230,gene,AT2G05990,gene
AT2G05990,gene,AT1G08510,gene
AT2G05990,gene,AT1G08510,gene
AT2G05990,gene,AT1G08510,gene
AT2G05990,gene,AT1G08510,gene
AT1G08510,gene,AT1G49430,gene
AT1G08510,gene,AT1G49430,gene
AT1G36160,gene,AT3G16170,gene
AT1G36160,gene,AT2G30200,gene
AT3G16170,gene,AT2G30200,gene
AT2G30200,gene,AT1G74960,gene
AT1G74960,gene,AT1G24360,gene
AT1G74960,gene,AT1G24360,gene
AT3G60340,gene,AT3G45770,gene
AT3G45770,gene,AT3G60340,gene
AT1G24470,gene,AT5G10480,gene
AT5G10480,gene,AT3G55360,gene
AT3G55360,gene,AT1G01710,gene
AT1G24470,gene,AT1G01120,gene
AT5G47720,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06810,gene
AT5G47720,gene,AT3G06860,gene
AT5G47720,gene,AT3G06860,gene
AT1G04710,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06810,gene
AT1G23800,gene,AT1G69500,gene
AT1G22430,gene,AT1G23800,gene
AT3G06810,gene,AT5G47720,gene
AT3G06810,gene,AT1G04710,gene
AT1G04710,gene,AT3G06860,gene
AT3G06810,gene,AT1G04710,gene
AT1G04710,gene,AT3G06860,gene
AT1G04710,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06810,gene
AT3G06810,gene,AT1G04710,gene
AT1G04710,gene,AT3G06860,gene
AT1G04710,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06810,gene
AT3G06810,gene,AT1G04710,gene
AT1G04710,gene,AT3G06860,gene
AT1G04710,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06810,gene
AT3G06810,gene,AT1G04710,gene
AT1G04710,gene,AT3G06860,gene
AT1G04710,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06810,gene
AT3G06810,gene,AT1G04710,gene
AT1G04710,gene,AT3G06860,gene
AT1G04710,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06860,gene
AT3G06860,gene,AT3G06810,gene
AT3G06860,gene,AT1G06290,gene
AT5G47720,gene,AT1G06290,gene
AT1G04710,gene,AT1G06290,gene
AT3G06860,gene,AT1G06290,gene
AT3G06860,gene,AT1G06290,gene
AT1G04710,gene,AT1G06290,gene
AT1G04710,gene,AT1G06290,gene
AT3G06860,gene,AT1G06290,gene
AT1G04710,gene,AT1G06290,gene
AT3G06860,gene,AT1G06290,gene
AT1G04710,gene,AT1G06290,gene
AT1G04710,gene,AT1G06290,gene
AT3G06860,gene,AT1G06290,gene
AT3G06860,gene,AT1G06290,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT5G47720,gene,AT1G04710,gene
AT1G04710,gene,AT3G06860,gene
AT4G11820,gene,AT2G26800,gene
AT4G11820,gene,AT2G26800,gene
AT2G26800,gene,AT5G47720,gene
AT4G11820,gene,AT5G47720,gene
AT4G11820,gene,AT5G47720,gene
AT1G01600,gene,AT1G11600,gene
AT1G01600,gene,AT1G03390,gene
AT1G11600,gene,AT1G03390,gene
AT1G69500,gene,AT1G23240,gene
AT1G69500,gene,AT1G23240,gene
AT1G01600,gene,AT1G72970,gene
AT1G01600,gene,AT1G23240,gene
AT1G01600,gene,AT1G11600,gene
AT1G72970,gene,AT1G23240,gene
AT1G72970,gene,AT1G11600,gene
AT1G23240,gene,AT1G11600,gene
AT3G11980,gene,AT5G37300,gene
AT1G02190,gene,AT1G57750,gene
AT3G11980,gene,AT5G37300,gene
AT5G37300,gene,AT5G37300,gene
AT1G69500,gene,AT1G11600,gene
AT1G69500,gene,AT1G03390,gene
AT1G69500,gene,AT1G72970,gene
AT1G69500,gene,AT1G23240,gene
AT1G69500,gene,AT1G11600,gene
AT2G07050,gene,AT3G45130,gene
AT2G07050,gene,AT5G13710,gene
AT5G50375,gene,AT1G11680,gene
AT1G11680,gene,AT3G52940,gene
AT3G52940,gene,AT1G20050,gene
AT1G20330,gene,AT1G20050,gene
AT3G02580,gene,AT1G50430,gene
AT3G19820,gene,AT1G50430,gene
AT3G19820,gene,AT2G28850,gene
AT1G50430,gene,AT3G02580,gene
AT3G19820,gene,AT1G50430,gene
AT3G45130,gene,AT3G19820,gene
AT3G45130,gene,AT1G11680,gene
AT3G19820,gene,AT1G11680,gene
AT3G52940,gene,AT1G11680,gene
AT3G19820,gene,AT3G52940,gene
AT1G20050,gene,AT3G19820,gene
AT3G19820,gene,AT5G13710,gene
AT1G20050,gene,AT5G13710,gene
AT1G20050,gene,AT3G19820,gene
AT1G20050,gene,AT3G19820,gene
AT3G02580,gene,AT1G20050,gene
AT1G20050,gene,AT3G19820,gene
AT3G02580,gene,AT3G19820,gene
AT1G50430,gene,AT3G02580,gene
AT3G02580,gene,AT3G19820,gene
AT1G50430,gene,AT3G19820,gene
AT1G50430,gene,AT3G19820,gene
AT1G50430,gene,AT2G15230,gene
AT2G15230,gene,AT3G19820,gene
AT1G20050,gene,AT1G07420,gene
AT1G20330,gene,AT1G07420,gene
AT1G20330,gene,AT1G07420,gene
AT5G13710,gene,AT4G12110,gene
AT4G34640,gene,AT1G58440,gene
AT1G58440,gene,AT3G45130,gene
AT1G58440,gene,AT2G07050,gene
AT3G19820,gene,AT2G28850,gene
AT3G19820,gene,AT1G11680,gene
AT3G45130,gene,AT1G11680,gene
AT3G52940,gene,AT1G11680,gene
AT4G12110,gene,AT1G47290,gene
AT1G07420,gene,AT1G47290,gene
AT1G07420,gene,AT1G47290,gene
AT1G18870,gene,AT1G68890,gene
AT1G68890,gene,AT1G68890,gene
AT1G68890,gene,AT1G68890,gene
AT1G68890,gene,AT1G30520,gene
AT1G30520,gene,AT1G60550,gene
AT1G60550,gene,AT1G48320,gene
AT2G18950,gene,AT4G32770,gene
AT2G18950,gene,AT3G63410,gene
AT4G32770,gene,AT3G63410,gene
AT4G32770,gene,AT1G64970,gene
AT3G63410,gene,AT4G32770,gene
AT4G32770,gene,AT1G64970,gene
AT1G06570,gene,AT2G18950,gene
AT1G06570,gene,AT2G24850,gene
AT3G11945,gene,AT1G06570,gene
AT3G11945,gene,AT3G63410,gene
AT1G51680,gene,AT2G30490,gene
AT1G64970,gene,AT4G32770,gene
AT4G32770,gene,AT3G63410,gene
AT1G64970,gene,AT4G32770,gene
AT4G32770,gene,AT2G18950,gene
AT4G32770,gene,AT3G63410,gene
AT2G18950,gene,AT3G63410,gene
AT3G11945,gene,AT2G18950,gene
AT3G11945,gene,AT2G18950,gene
AT1G06570,gene,AT2G18950,gene
AT2G18950,gene,AT2G18950,gene
AT1G60600,gene,AT5G08740,gene
AT5G08740,gene,AT1G23360,gene
AT4G27270,gene,AT1G23360,gene
AT4G23660,gene,AT3G24200,gene
AT3G24200,gene,AT2G30920,gene
AT1G12840,gene,AT1G01050,gene
AT1G17260,gene,AT1G01050,gene
AT1G48470,gene,AT3G03910,gene
AT1G48470,gene,AT1G51720,gene
AT1G62800,gene,AT2G22910,gene
AT1G62800,gene,AT1G51720,gene
AT1G62800,gene,AT3G03910,gene
AT1G17290,gene,AT2G22910,gene
AT1G17290,gene,AT1G51720,gene
AT1G17290,gene,AT3G03910,gene
AT2G22910,gene,AT1G51720,gene
AT2G22910,gene,AT3G03910,gene
AT2G22910,gene,AT3G57560,gene
AT3G57560,gene,AT2G19940,gene
AT2G19940,gene,AT1G80600,gene
AT1G80600,gene,AT1G44180,gene
AT1G80600,gene,AT4G17830,gene
AT1G80600,gene,AT2G37500,gene
AT2G37500,gene,AT4G08870,gene
AT2G37500,gene,AT1G75330,gene
AT1G44180,gene,AT4G08870,gene
AT1G44180,gene,AT1G75330,gene
AT4G17830,gene,AT4G08870,gene
AT4G17830,gene,AT1G75330,gene
AT4G08870,gene,AT1G75330,gene
AT4G08870,gene,AT1G67550,gene
AT5G10920,gene,AT3G47450,gene
AT4G24830,gene,AT5G10920,gene
AT4G17830,gene,AT4G24830,gene
AT4G17830,gene,AT3G47450,gene
AT4G17830,gene,AT1G75330,gene
AT4G24830,gene,AT3G47450,gene
AT4G24830,gene,AT1G75330,gene
AT3G47450,gene,AT1G75330,gene
AT4G11980,gene,AT2G42070,gene
AT1G32380,gene,AT2G42070,gene
AT1G32380,gene,AT2G16570,gene
AT2G16570,gene,AT1G09830,gene
AT1G09830,gene,AT1G31220,gene
AT1G31220,gene,AT1G74260,gene
AT1G74260,gene,AT3G55010,gene
AT3G55010,gene,AT2G37690,gene
AT2G37690,gene,AT3G21110,gene
AT3G21110,gene,AT1G36280,gene
AT1G36280,gene,AT1G27450,gene
AT1G36280,gene,AT2G35040,gene
AT1G27450,gene,AT2G35040,gene
AT2G35040,gene,AT2G35040,gene
AT1G19920,gene,AT1G19920,gene
AT4G09320,gene,AT4G13720,gene
AT2G38280,gene,AT3G57610,gene
AT2G38280,gene,AT2G35040,gene
AT2G38280,gene,AT4G13720,gene
AT2G38280,gene,AT1G14230,gene
AT2G38280,gene,AT1G16350,gene
AT2G38280,gene,AT1G71750,gene
AT2G38280,gene,AT1G72880,gene
AT3G57610,gene,AT2G35040,gene
AT3G57610,gene,AT4G13720,gene
AT3G57610,gene,AT1G14230,gene
AT3G57610,gene,AT1G16350,gene
AT3G57610,gene,AT1G71750,gene
AT3G57610,gene,AT1G72880,gene
AT2G35040,gene,AT4G13720,gene
AT2G35040,gene,AT1G14230,gene
AT2G35040,gene,AT1G16350,gene
AT2G35040,gene,AT1G71750,gene
AT2G35040,gene,AT1G72880,gene
AT4G13720,gene,AT1G14230,gene
AT4G13720,gene,AT1G16350,gene
AT4G13720,gene,AT1G71750,gene
AT4G13720,gene,AT1G72880,gene
AT1G14230,gene,AT1G16350,gene
AT1G14230,gene,AT1G71750,gene
AT1G14230,gene,AT1G72880,gene
AT1G16350,gene,AT1G71750,gene
AT1G16350,gene,AT1G72880,gene
AT1G71750,gene,AT1G72880,gene
AT3G57610,gene,AT1G36280,gene
AT1G72880,gene,AT4G04880,gene
AT4G34890,gene,AT1G71750,gene
AT4G34890,gene,AT1G71750,gene
AT2G38280,gene,AT1G14230,gene
AT2G38280,gene,AT2G37250,gene
AT2G38280,gene,AT1G27450,gene
AT2G38280,gene,AT1G72880,gene
AT2G38280,gene,AT3G09820,gene
AT1G14230,gene,AT1G27450,gene
AT1G14230,gene,AT1G72880,gene
AT1G14230,gene,AT3G09820,gene
AT2G37250,gene,AT1G27450,gene
AT2G37250,gene,AT1G72880,gene
AT2G37250,gene,AT3G09820,gene
AT1G27450,gene,AT1G72880,gene
AT1G27450,gene,AT3G09820,gene
AT1G72880,gene,AT4G04880,gene
AT3G09820,gene,AT4G04880,gene
AT1G14230,gene,AT2G21790,gene
AT1G14230,gene,AT1G32440,gene
AT1G14230,gene,AT4G09320,gene
AT1G14230,gene,AT1G14230,gene
AT1G14230,gene,AT5G66005,gene
AT2G37250,gene,AT2G21790,gene
AT2G37250,gene,AT1G32440,gene
AT2G37250,gene,AT4G09320,gene
AT2G37250,gene,AT1G14230,gene
AT2G37250,gene,AT5G66005,gene
AT2G21790,gene,AT1G32440,gene
AT2G21790,gene,AT4G09320,gene
AT2G21790,gene,AT1G14230,gene
AT2G21790,gene,AT5G66005,gene
AT2G21790,gene,AT4G09320,gene
AT2G21790,gene,AT1G32440,gene
AT2G21790,gene,AT2G37250,gene
AT4G09320,gene,AT2G37250,gene
AT1G32440,gene,AT2G37250,gene
AT2G37250,gene,AT1G72880,gene
AT1G72880,gene,AT4G04880,gene
AT5G43600,gene,AT4G17050,gene
AT1G67550,gene,AT5G43600,gene
