,0,1,2
AT1G02500,AT1G02500,"ATSAM1,  MAT1,  METK1,  S-ADENOSYLMETHIONINE SYNTHETASE 1,  S-ADENOSYLMETHIONINE SYNTHETASE-1,  SAM-1,  SAM1",encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.
AT1G02620,AT1G02620,,Ras-related small GTP-binding family protein;(source:Araport11)
AT1G02730,AT1G02730,"ATCSLD5,  CELLULOSE SYNTHASE LIKE D5,  CELLULOSE SYNTHASE-LIKE D5,  CSLD5,  SALT OVERLY SENSITIVE 6,  SOS6","Encodes a gene similar to cellulose synthase. Knock-out mutant has reduced growth, reduced xylan level and reduced xylan synthase activity in stems.It's expression is cell cycle dependent and it appears to function in cell plate formation."
AT1G02790,AT1G02790,"PG45,  PGA4,  POLYGALACTURONASE 4",encodes a exopolygalacturonase.
AT1G02800,AT1G02800,"ATCEL2,  CEL2,  CELLULASE 2","Encodes a protein with similarity to endo-1,4-b-glucanases and is a   member of Glycoside Hydrolase Family 9. CEL2 is induced by nemotodes and is expressed in syncitia induced by  Heterodera schachtii.May be involved in the development and function of syncitia."
AT1G02810,AT1G02810,,Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11)
AT1G02850,AT1G02850,"BETA GLUCOSIDASE 11,  BGLU11",beta glucosidase 11;(source:Araport11)
AT1G02880,AT1G02880,"THIAMIN PYROPHOSPHOKINASE1,  TPK1",Encodes a thiamine pyrophosphokinase capable of producing thiamine pyrophosphate from free thiamine.
AT1G02920,AT1G02920,"ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 11,  ATGST11,  ATGSTF7,  ATGSTF8,  GLUTATHIONE S-TRANSFERASE 11,  GLUTATHIONE S-TRANSFERASE 7,  GST11,  GSTF7",Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G03000,AT1G03000,"PEROXIN 6,  PEX6","Encodes an apparent ATPase similar to yeast and human protein required for peroxisomal biogenesis.  May facilitate recycling of PEX5, the peroxisomal matrix protein receptor, and thereby promote peroxisomal matrix protein import."
AT1G03055,AT1G03055,"A. THALIANA HOMOLOG OF RICE D27,  ATD27,  D27,  DWARF27",Encodes the ortholog of rice D27.  It is plastid-localized and is required for the inhibition of secondary bud outgrowth and operates on a nonmobile precursor upstream of MAX1 in the SL biosynthesis pathway.
AT1G03090,AT1G03090,MCCA,"MCCA is the biotinylated subunit of the dimer MCCase, which is involved in leucine degradation. Both subunits are nuclear coded and the active enzyme is located in the mitochondrion."
AT1G03310,AT1G03310,"ARABIDOPSIS THALIANA ISOAMYLASE 2,  ATBE2,  ATISA2,  BE2,  BRANCHING ENZYME 2,  DBE1,  DEBRANCHING ENZYME 1,  ISA2",Encodes a protein with strong similarity to isoamylase (EC:3.2.1.68) however lacks critical residues known to be important for activity. Appears to co localize with ISA1 in the chloroplast isoamylase complex.  Mutations in this gene cause the loss of detectable isoamylase activity and the disruption of normal starch structure. It has been postulated that AtISA2 interacts with AtISA1 to form the Iso1 complex.
AT1G03390,AT1G03390,,HXXXD-type acyl-transferase family protein;(source:Araport11)
AT1G03430,AT1G03430,"AHP5,  HISTIDINE-CONTAINING PHOSPHOTRANSFER FACTOR 5","Encodes AHP5, one of the six Arabidopsis thaliana histidine phosphotransfer proteins (AHPs).  AHPs function as redundant positive regulators of cytokinin signaling.  Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6)."
AT1G03445,AT1G03445,"BRI1 SUPPRESSOR 1,  BSU1","encodes a serine–threonine protein phosphatase with an N-terminal Kelch-repeat domain, which is nuclear localized and expressed preferentially in elongating cells. Genetic evidence suggest that this gene plays a redundant role (along with other members of the same gene family) in modulating growth in response to brassinosteroid."
AT1G03475,AT1G03475,"ATCPO-I,  HEMF1,  LESION INITIATION 2,  LIN2","Encodes coproporphyrinogen III oxidase, a key enzyme in the biosynthetic pathway of chlorophyll and heme, a tetrapyrrole pathway. Mutants express cytological and molecular markers associated with the defense responses, usually activated by pathogen infection."
AT1G03630,AT1G03630,"POR C,  PORC,  PROTOCHLOROPHYLLIDE OXIDOREDUCTASE C",Encodes for a protein with protochlorophyllide oxidoreductase activity. The enzyme is NADPH- and light-dependent.
AT1G03950,AT1G03950,"VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 2.3,  VPS2.3",vacuolar protein sorting-associated protein 2.3;(source:Araport11)
AT1G03970,AT1G03970,"G-BOX BINDING FACTOR 4,  GBF4",encodes a basic leucine zipper G-box binding factor that can bind to G-box motifs only as heterodimers with GBF2 or GBF3. A single amino acid change can confer G-box binding as homodimers.
AT1G04100,AT1G04100,"IAA10,  INDOLEACETIC ACID-INDUCED PROTEIN 10","Auxin induced gene, IAA10 (IAA10)."
AT1G04180,AT1G04180,"YUC9,  YUCCA 9",YUCCA 9;(source:Araport11)
AT1G04310,AT1G04310,"ERS2,  ETHYLENE RESPONSE SENSOR 2",encodes an ethylene receptor related to bacterial two-component histidine kinases.
AT1G04410,AT1G04410,"C-NAD-MDH1,  CYTOSOLIC-NAD-DEPENDENT MALATE DEHYDROGENASE 1",predicted to encode a cytosolic malate dehydrogenase.
AT1G04580,AT1G04580,"AAO4,  ALDEHYDE OXIDASE 2,  ALDEHYDE OXIDASE 4,  AO4,  ARABDOPSIS THALIANA ALDEHYDE OXIDASE 4,  ATAO-4,  ATAO2",Encodes aldehyde oxidase AAO4 preferentially expressed in developing seeds.
AT1G04620,AT1G04620,"7-HYDROXYMETHYL CHLOROPHYLL A (HMCHL) REDUCTASE,  HCAR","Encodes a 7-hydroxymethyl chlorophyll a reductase, an enzyme of the chlorophyll cycle that converts 7-hydroxymethyl chlorophyll a to chlorophyll a."
AT1G04640,AT1G04640,"LIP2,  LIPOYLTRANSFERASE 2","Lipoyltransferase, located in mitochondria but not found in chloroplasts"
AT1G04680,AT1G04680,,Pectin lyase-like superfamily protein;(source:Araport11)
AT1G04710,AT1G04710,"3-KETO-ACYL-COA THIOLASE 1,  KAT1,  PEROXISOMAL 3-KETOACYL-COA THIOLASE  4,  PKT4",EC2.3.1.16 thiolase. Its transcript levels change after inducing MUTE expression in a mute background.
AT1G04820,AT1G04820,"TOR2,  TORTIFOLIA 2,  TUA4,  TUBULIN ALPHA-4 CHAIN","Encodes an alpha tubulin isoform that is expressed in roots, leaves and flowers."
AT1G04850,AT1G04850,,ubiquitin-associated (UBA)/TS-N domain-containing protein;(source:Araport11)
AT1G04920,AT1G04920,"ATSPS3F,  ATSPSB,  SPS3F,  SPSB,  SUCROSE PHOSPHATE SYNTHASE 3F,  SUCROSE PHOSPHATE SYNTHASE B",Encodes a sucrose-phosphate synthase whose activity is stimulated by Glc-6-P and inhibited by Pi.
AT1G04980,AT1G04980,"ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 10,  ATPDI10,  ATPDIL2-2,  PDI-LIKE 2-2,  PDI10,  PDIL2-2,  PROTEIN DISULFIDE ISOMERASE","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response."
AT1G05010,AT1G05010,"ACO4,  EAT1,  EFE,  ETHYLENE FORMING ENZYME,  ETHYLENE-FORMING ENZYME",Encodes 1-aminocyclopropane-1-carboxylate oxidase
AT1G05100,AT1G05100,"MAPKKK18,  MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 18",member of MEKK subfamily. Negatively regulated by RGLG1 and  RGLG2; involved in drought stress tolerance.
AT1G05160,AT1G05160,"ATKAO1,  CYP88A3,  CYTOCHROME P450, FAMILY 88, SUBFAMILY A, POLYPEPTIDE 3,  ENT-KAURENOIC ACID OXYDASE 1,  KAO1","Encodes an ent-kaurenoic acid hydroxylase, a  member of the CYP88A cytochrome p450 family."
AT1G05240,AT1G05240,"PATHOGENESIS RELATED 9,  PR9",Peroxidase superfamily protein;(source:Araport11)
AT1G05520,AT1G05520,ATSEC23B,Sec23/Sec24 protein transport family protein;(source:Araport11)
AT1G05590,AT1G05590,"ATHEX3,  BETA-HEXOSAMINIDASE 2,  BETA-HEXOSAMINIDASE 3,  HEXO2",Encodes a protein with β-hexosaminidase activity (the enzyme is active with p-nitrophenyl-β-N-acetylglucosaminide as substrate but displayed only a minor activity toward p-nitrophenyl-β-N-acetylgalactosaminide). Chitotriose-PA was digested almost completely overnight by a 50% ammonium sulfate fraction of a supernatant yeast expressing AtHEX3.
AT1G05610,AT1G05610,"ADP-GLUCOSE PYROPHOSPHORYLASE SMALL SUBUNIT 2,  APS2",Encodes the small subunit of ADP-glucose pyrophosphorylase. The small subunit is the catalytic isoform responsible for ADP-glucose pyrophosphorylase activity. The presence of the small subunit is required for large subunit stability. Two isoforms of the small subunit (ApS1 and ApS2) have been described. ApS2 is a minor small subunit isoform present in all plant tissues tested.
AT1G05650,AT1G05650,,Pectin lyase-like superfamily protein;(source:Araport11)
AT1G05990,AT1G05990,"CALMODULIN LIKE 7,  CML7,  RHS1,  ROOT HAIR SPECIFIC 1",EF hand calcium-binding protein family;(source:Araport11)
AT1G06020,AT1G06020,"FRK3,  FRK5,  FRUCTOKINASE 3,  FRUCTOKINASE 5","Encodes a member of the fructokinase gene family.  Nomenclature according to Riggs 2017 has been adopted for the family by the community (personal communication, Boernke, Callis, Granot, Boernke, and Smeekens)."
AT1G06130,AT1G06130,"GLX2-4,  GLYOXALASE 2-4",glyoxalase 2-4;(source:Araport11)
AT1G06290,AT1G06290,"ACX3,  ACYL-COA OXIDASE 3,  ATACX3",Encodes an acyl-CoA oxidase with specificity for medium chain fatty acids. The mRNA is cell-to-cell mobile.
AT1G06390,AT1G06390,"A. THALIANA SHAGGY-LIKE KINASE GROUP 2 3,  ATGSK1,  ATSK2-3,  ATSK22,  BIL2,  BIN2-LIKE 2,  GSK1,  GSK3/SHAGGY-LIKE PROTEIN KINASE 1,  SHAGGY-LIKE PROTEIN KINASE 22,  SK22","encodes a GSK3/shaggy-like protein kinase. Gene expression is induced by NaCl and ABA but not KCl, suggesting that this gene may be involved in response to osmotic stress. This protein can interact with the BZR1 protein involved in brassinosteroid-mediated signaling in a Y2H assay and promotes BZR1 phosphorylation in protoplasts."
AT1G06410,AT1G06410,"ATTPS7,  ATTPSA,  TPS7,  TREHALOSE -6-PHOSPHATASE SYNTHASE S7,  TREHALOSE-PHOSPHATASE/SYNTHASE 7","Encodes an enzyme putatively involved in trehalose biosynthesis. Though the protein has both trehalose-6-phosphate synthase (TPS)-like and trehalose-6-phosphate phosphatase (TPP)-like domains, neither activity has been detected in enzymatic assays nor has the protein been able to complement yeast TPS or TPP mutants."
AT1G06450,AT1G06450,"CAF1G,  CCR4-ASSOCIATED FACTOR 1G",Deadenylase.
AT1G06550,AT1G06550,,ATP-dependent caseinolytic (Clp) protease/crotonase family protein;(source:Araport11)
AT1G06570,AT1G06570,"4-HYDROXYPHENYLPYRUVATE DIOXYGENASE,  HPD,  HPPD,  PDS1,  PHYTOENE DESATURATION 1","Mutation of the PDS1 locus disrupts the activity of p-hydroxyphenylpyruvate dioxygenase (HPPDase), the first committed step in the synthesis of both plastoquinone and tocopherols in plants."
AT1G06780,AT1G06780,"GALACTURONOSYLTRANSFERASE 6,  GAUT6",Encodes a protein with  putative galacturonosyltransferase activity. Required for synthesis of native homogalacturonan in growing pollen tubes; critical role in pollen tube growh and male fertility.
AT1G06820,AT1G06820,"CAROTENOID AND CHLOROPLAST REGULATION 2,  CAROTENOID ISOMERASE,  CCR2,  CRTISO","Encodes carotenoid isomerase. Catalyzes the isomerization of poly-cis-carotenoids to all-trans-carotenoids. Together with PDS and ZDS, CRTiso is required to complete the synthesis of lycopene from phytoene."
AT1G07110,AT1G07110,"ATF2KP,  F2KP,  FKFBP,  FRUCTOSE-2,6-BISPHOSPHATASE","Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase."
AT1G07230,AT1G07230,"NON-SPECIFIC PHOSPHOLIPASE C1,  NPC1",non-specific phospholipase C1;(source:Araport11)
AT1G07380,AT1G07380,"ATNCER1,  NEUTRAL CERAMIDASE 1",Encodes a neutral ceramidase that is involved in sphingolipid homeostasis and responses to oxidative stress.
AT1G07420,AT1G07420,"ARABIDOPSIS THALIANA STEROL 4-ALPHA-METHYL OXIDASE 1,  ATSMO1,  SMO2-1,  STEROL 4-ALPHA-METHYL-OXIDASE 2-1","Arabidopsis thaliana sterol 4-alpha-methyl-oxidase mRNA. The sterol 4alpha-methyl oxidase2 family proteins SMO2-1 and SMO2-2 function partially through effects on auxin accumulation, auxin response and PIN1 expression to regulate embryogenesis in Arabidopsis."
AT1G07430,AT1G07430,"AIP1,  AKT1 INTERACTING PROTEIN PHOSPHATASE 1,  ATAIP1,  HAI2,  HIGHLY ABA-INDUCED PP2C GENE 2,  HON,  HONSU (KOREAN FOR ABNORMAL DROWSINESS)",Encodes a member of the group A protein phosphatase 2C (PP2C) family that is responsible for negatively regulating seed dormancy.
AT1G07780,AT1G07780,"PAI1,  PHOSPHORIBOSYLANTHRANILATE ISOMERASE 1,  TRANSIENT RECEPTOR POTENTIAL 6,  TRP6",Encodes phosphoribosylanthranilate isomerase which catalyzes the third step of the tryptophan biosynthetic pathway. Member of gene family. The mRNA is cell-to-cell mobile.
AT1G07890,AT1G07890,"APX1,  ASCORBATE PEROXIDASE 1,  ATAPX01,  ATAPX1,  CS1,  MATERNAL EFFECT EMBRYO ARREST 6,  MEE6","Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress. The mRNA is cell-to-cell mobile."
AT1G08065,AT1G08065,"ACA5,  ALPHA CARBONIC ANHYDRASE 5,  ATACA5",alpha carbonic anhydrase 5;(source:Araport11)
AT1G08090,AT1G08090,"ACH1,  ATNRT2.1,  ATNRT2:1,  LATERAL ROOT INITIATION 1,  LIN1,  NITRATE TRANSPORTER 2,  NITRATE TRANSPORTER 2.1,  NITRATE TRANSPORTER 2:1,  NRT2,  NRT2.1,  NRT2:1,  NRT2;1AT",High-affinity nitrate transporter. Up-regulated by nitrate. Functions as a repressor of lateral root initiation independently of nitrate uptake.
AT1G08110,AT1G08110,"ATGLYI2,  GLXI:3,  GLYI2,  GLYOXALASE I;3,  GLYOXALASE12",Encodes a Zn2+ dependent glyoxylase.
AT1G08200,AT1G08200,"AXS2,  UDP-D-APIOSE/UDP-D-XYLOSE SYNTHASE 2",Encodes a putative UDP-D-apiose/UPD-D-xylose synthetase.
AT1G08250,AT1G08250,"ADT6,  ARABIDOPSIS THALIANA AROGENATE DEHYDRATASE 6,  AROGENATE DEHYDRATASE 6,  ATADT6","Encodes a plastid-localized arogenate dehydratase involved in phenylalanine biosynthesis. Although this enzyme has sequence similarity to prephenate dehydratases, it is 98 times more active with arogenate than prephenate in enzymatic assays."
AT1G08270,AT1G08270,,vacuolar protein sorting-associated protein;(source:Araport11)
AT1G08320,AT1G08320,"BZIP21,  TGA9,  TGACG (TGA) MOTIF-BINDING PROTEIN 9",bZIP transcription factor family protein;(source:Araport11)
AT1G08490,AT1G08490,"ATCPNIFS,  ATNFS2,  ATSUFS,  CHLOROPLASTIC NIFS-LIKE CYSTEINE DESULFURASE,  CPNIFS,  SUFS",Chloroplastic NifS-like protein that can catalyze the conversion of cysteine into alanine and elemental  sulfur (S(0)) and of selenocysteine into alanine and elemental Se (Se(0)). Overexpression enhances selenium tolerance and accumulation.
AT1G08510,AT1G08510,"FATB,  FATTY ACYL-ACP THIOESTERASES B","Encodes an acyl-acyl carrier protein thioesterase. Hydrolyzes primarily saturated acyl-ACPs with chain lengths that vary between 8 and 18 carbons. Involved in saturated fatty acid synthesis. Nuclear-encoded, plastid-targeted globular protein that is functional as dimer."
AT1G08520,AT1G08520,"ALB-1V,  ALB1,  ALBINA 1,  CHLD,  PDE166,  PIGMENT DEFECTIVE EMBRYO 166,  V157",Encodes the CHLD subunit of the Mg-chelatase enzyme involved in chlorophyll biosynthesis. Lines carrying recessive mutations of this locus are white and seedling lethal.
AT1G08550,AT1G08550,"ARABIDOPSIS VIOLAXANTHIN DE-EPOXIDASE 1,  AVDE1,  NON-PHOTOCHEMICAL QUENCHING 1,  NPQ1",Violaxanthin deepoxidase involved in xanthophyll cycle.Two major consequences of the npq1 mutation are the absence of zeaxanthin formation in strong light and the partial inhibition of the quenching of singlet excited chlorophylls in the photosystem II light-harvesting complex
AT1G08630,AT1G08630,"THA1,  THREONINE ALDOLASE 1","Encodes a threonine aldolase, involved in threonine degradation to glycine. Primarily expressed in seeds and seedlings."
AT1G08980,AT1G08980,"AMI1,  AMIDASE 1,  AMIDASE-LIKE PROTEIN 1,  ARABIDOPSIS THALIANA TRANSLOCON AT THE OUTER MEMBRANE OF CHLOROPLASTS 64-I,  ATAMI1,  ATTOC64-I,  TOC64-I,  TRANSLOCON AT THE OUTER MEMBRANE OF CHLOROPLASTS 64-I","Encodes an enzyme with similarity to bacterial acylamidohydrolases and exhibits indole-3-acetamide amidohydrolase activity in vitro.  This enzyme may be involved in the in vivo biosynthesis of indole-acetic acid from indole-3-acetamide, a native metabolite of A. thaliana. It appears to exist as a monomer."
AT1G09000,AT1G09000,"ANP1,  MAP KINASE KINASE KINASE 1,  MAPKKK1,  NP1,  NPK1-RELATED PROTEIN KINASE 1",NPK1-related protein kinase 1S
AT1G09090,AT1G09090,"ATRBOHB,  ATRBOHB-BETA,  RBOHB,  RESPIRATORY BURST OXIDASE HOMOLOG B",NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB-ß mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds.
AT1G09350,AT1G09350,"ATGOLS3,  GALACTINOL SYNTHASE 3,  GOLS3",Predicted to encode a galactinol synthase
AT1G09400,AT1G09400,,FMN-linked oxidoreductases superfamily protein;(source:Araport11)
AT1G09420,AT1G09420,"G6PD4,  GLUCOSE-6-PHOSPHATE DEHYDROGENASE 4","Encodes a protein similar to glucose-6-phosphate dehydrogenase but, based on amino acid differences in the active site and lack of activity, does not encode a functional G6PDH.  The amino acid sequence for the consensus sequence of the G6PDH active site (DHYLGKE) differs in three places in this protein.  gc exon splice site at 20574 is based on protein alignment, and is not confirmed experimentally."
AT1G09430,AT1G09430,"ACLA-3,  ATP-CITRATE LYASE A-3","Encodes subunit A of the heteromeric enzyme ATP citrate lyase (ACL).  In animals, ACL is encoded by a single gene; ACL in Arabidopsis is composed of two polypeptides, ACLA (encoded by 3 genes) and ACLB (encoded by 2 genes).  The holoenzyme has an A(4)B(4)stoichiometry. Expression of both ACLA and ACLB but not of either of the subunits alone results in ACL activity."
AT1G09530,AT1G09530,"PAP3,  PHOTOCURRENT 1,  PHYTOCHROME INTERACTING FACTOR 3,  PHYTOCHROME-ASSOCIATED PROTEIN 3,  PIF3,  POC1","Transcription factor interacting with photoreceptors phyA and phyB. Forms a ternary complex in vitro with G-box element of the promoters of LHY, CCA1. Acts as a negative regulator of phyB signalling. It degrades rapidly after irradiation of dark grown seedlings in a process controlled by phytochromes. Does not play a  significant role in controlling light input and function of the circadian  clockwork. Binds to G- and E-boxes, but not to other ACEs. Binds to anthocyanin biosynthetic genes in a light- and HY5-independent fashion. PIF3 function as a transcriptional activator can be functionally and mechanistically separated from its role in repression of PhyB mediated processes."
AT1G09570,AT1G09570,"ELONGATED HYPOCOTYL 8,  FAR RED ELONGATED 1,  FAR RED ELONGATED HYPOCOTYL 2,  FHY2,  FRE1,  HY8,  PHYA,  PHYTOCHROME A","Light-labile cytoplasmic red/far-red light photoreceptor involved in the regulation of photomorphogenesis. It exists in two inter-convertible forms: Pr and Pfr (active) and functions as a dimer.The N terminus carries a single tetrapyrrole chromophore, and the C terminus is involved in dimerization. It is the sole photoreceptor mediating the FR high irradiance response (HIR). Major regulator in red-light induction of phototropic enhancement. Involved in the regulation of de-etiolation. Involved in gravitropism and phototropism.  Requires FHY1 for nuclear accumulation."
AT1G09780,AT1G09780,"2,3-BIPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE 1,  IPGAM1","Encodes a 2,3-biphosphoglycerate-independent phosphoglycerate mutase that is involved in pollen development and stomatal movement."
AT1G09795,AT1G09795,"ATATP-PRT2,  ATP PHOSPHORIBOSYL TRANSFERASE 2,  ATP-PRT2,  HISN1B","ATP phosphoribosyl transferase, catalyses first step of histidine biosynthesis"
AT1G09830,AT1G09830,"PUR2,  PURINE BIOSYNTHESIS 2",glycinamide ribonucleotide synthetase (GAR synthetase) that catalyzes the conversion of phosphoribosyl amine to phosphoribosyl glycineamide
AT1G09870,AT1G09870,,histidine acid phosphatase family protein;(source:Araport11)
AT1G09940,AT1G09940,HEMA2,Encodes glutamyl-tRNA reductase. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins
AT1G10060,AT1G10060,"ATBCAT-1,  BCAT-1,  BCAT1,  BRANCHED-CHAIN AMINO ACID TRANSAMINASE 1,  BRANCHED-CHAIN AMINO ACID TRANSFERASE 1",encodes a mitochondrial branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant.
AT1G10210,AT1G10210,"ATMPK1,  MITOGEN-ACTIVATED PROTEIN KINASE 1,  MPK1",Encodes ATMPK1. Kinase is activated by wounding.
AT1G10430,AT1G10430,"PP2A-2,  PROTEIN PHOSPHATASE 2A-2","Encodes one of the isoforms of the catalytic subunit of protein phosphatase 2A: AT1G59830/PP2A-1, AT1G10430/PP2A-2, At2g42500/PP2A-3, At3g58500/PP2A-4 [Plant Molecular Biology (1993) 21:475-485 and (1994) 26:523-528; Note that in more recent publications, there is mixed use of gene names for PP2A-3 and PP2A-4 - some refer to At2g42500 as PP2A-3 and some as PP2A-4]. It regulates the activation of ADF/cofilin, which, in turn, regulates actin cytoskeleton remodeling and is involved in phot2-mediated chloroplast avoidance movements."
AT1G10470,AT1G10470,"ARR4,  ATRR1,  IBC7,  INDUCED BY CYTOKININ 7,  MATERNAL EFFECT EMBRYO ARREST 7,  MEE7,  RESPONCE REGULATOR 1,  RESPONSE REGULATOR 4",Encodes a two-component response regulator. Acts redundantly with ARR3 in the control of circadian period in a cytokinin-independent manner.
AT1G10830,AT1G10830,"15-CIS-ZETA-CAROTENE ISOMERASE,  Z-ISO,  Z-ISO1.1,  Z-ISO1.2",Encodes a functional 15-cis-zeta-carotene isomerase (Z-ISO).
